office_name,places_found,places_count
Kreissonderhilfsausschuss Springe,springe,1
"Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögen Neubrandenburg, Weinstr.",neubrandenburg,1
"United Restitution Office, Frankfurt/Main, Grüneburgweg 119",frankfurt,1
"Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögen, Nürnberg",nürnberg,1
Kreissozialhilfeauschuss Augsburg,augsburg,1
Amt für Wiedergutmachung Bonn-Stadt,bonn,1
KSHA Diepholz,diepholz,1
"United Restitution Office, Frankfurt/M., Grüneburgweg 119",frankfurt,1
Kreissozialhilfsausschuss Burgdorf,burgdorf,1
"Kreissonderhilfsausschuss des Landkreises Glauchau, Schauburg",glauchau,1
Kreissozialamt Cuxhaven,cuxhaven,1
Kreissozialamt Gifhorn,gifhorn,1
Kreissozialhilfsausschub Melle,melle,1
Diepholz,diepholz,1
Regierung Brünn (M.B.),brünn,1
Kreisonderschutzbehörde Bremervörde,bremervörde,1
Regierung Rendsburg (Wehr.),"rendsburg, wehr",2
Syke,syke,1
Kreissozialamt Syke,syke,1
KSHA Cuxhaven,cuxhaven,1
Regierung Frankfurt (Mf.),frankfurt,1
KSHA Darmenber/Elbe,elbe,1
KSHA Northeim,northeim,1
Stadt Hameln,hameln,1
Dannenberg,dannenberg,1
Regional Ansbach (Würt.),ansbach,1
Kreisonderhilfsausschuss Hameln,hameln,1
"United Restitution Office, Frankfurt/M., Grueneburgweg 119",frankfurt,1
Kreissozialhilfsausschuss Melle,melle,1
Kreissozialamt Hamm,hamm,1
Kreisverwaltungsreferat des Landkreises Burgdorf/Hann.,burgdorf,1
Burgdorf,burgdorf,1
Kreissozialhilfsausschuss Winsen/L.,winsen,1
Regierungsbezirk Meiningen für Wiedergutmachung und verwaltete Vermögens,meiningen,1
"Regionalverwaltungsamt für Wiedergutmachung und kontrollierte Vermögen, Bad Kreuznach",bad kreuznach,1
"United Restitution Office, Frankfurt/Main, Gruneburgweg 119",frankfurt,1
Kreissozialhilfsausschuss Northeim,northeim,1
Kreisverwaltung - Amt für Wiedergutmachung - Höxter/Weser,höxter,1
Kalt,kalt,1
Kreissozialamt Burgdorf,burgdorf,1
Pirmasens,pirmasens,1
Kreissozialhilfsausschuss Watenstedt-Salzgitter,salzgitter,1
KSHA Uelzen,uelzen,1
KSHA Melle,melle,1
Der Regierungspräsident. Düren,düren,1
Kreissozialhilfsausschuss Bremervörde,bremervörde,1
Duderstadt,duderstadt,1
Amt für Wiedergutmachung der Stadt Bonn,bonn,1
Der Oberkreisdirektor -Amt für Wiedergutmachung- in Herford,herford,1
Kreissozialamt Emden,emden,1
KSHA Emden,emden,1
"Reg. Präsident, Homburg",homburg,1
Amt für Wiedergutmachung in Paderborn,paderborn,1
Regierungsamt Bamberg (MfV),bamberg,1
Kreissozialamt Stadt Hameln,hameln,1
Watenstedt-Salzgitter,salzgitter,1
Königsberg,königsberg,1
Kreissozialamt Diepholz,diepholz,1
Wolfenbüttel,wolfenbüttel,1
Kreissonderhilfsausschuss Wittmund,wittmund,1
Landkreis Oschersleben,oschersleben,1
Bayreuth,bayreuth,1
Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögen Nürnberg a. d. Weinstr.,nürnberg,1
Kreissonderhilfsausschuss des Landkreises Glauchau Schauburg,glauchau,1
Regierungsamt Fürth (Württ.),fürth,1
Kreissozialamt Nordheim,nordheim,1
Ireis Lindau,lindau,1
Entschädigungsamt Bremervörde,bremervörde,1
Regierung Prenzlau,prenzlau,1
Kreissozialhilfsausschuss des Landkreises Glatz-Schmiedeberg,schmiedeberg,1
Landkreis Osterholz,osterholz,1
Bremervörde,bremervörde,1
Kreissozialhilfsausschuss Gifhorn,gifhorn,1
KSHA Hamm-Stadt,hamm,1
Bad Kreuznach,bad kreuznach,1
KSHA Norden,norden,1
KSHA Wilhelmshaven,wilhelmshaven,1
Altenkirchen/Westerw.,altenkirchen,1
Kreissozialamt Wittmund,wittmund,1
Regierungsamt Ansbach (Würt.),ansbach,1
Regierung Ansbach (Meß.),ansbach,1
Kreissozialamt Duderstadt,duderstadt,1
Kreissozialhilfsausschuss Landkreis Osterholz,osterholz,1
Amt für Wiedergutmachung Kreisverwaltung Paderborn,paderborn,1
Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögen Nürnberg a. d. Weinstrasse,nürnberg,1
Regierung Arnswalde (Wehr.),wehr,1
Stadt Bonn,bonn,1
Einbeck,einbeck,1
Kreissonderhilfsausschuss Norden,norden,1
KSHA Stadt Hameln,hameln,1
Kreissonderhilfsausschuss Emden,emden,1
Kreissonderhilfsausschuss Verden,verden,1
Kreissozialhilfeauschuss Melle,melle,1
KSHA Winsen/Luhe,winsen,1
Augsburg,augsburg,1
KSHA Verden,verden,1
Kreissozialhilfe Nordheim,nordheim,1
Regierung Ansbach (Welf.),ansbach,1
KSHA Hameln-Pyrmont,hameln,1
"URO, Frankfurt, Gruneburgweg 119",frankfurt,1
"Altenkirchen, Westerw.",altenkirchen,1
"Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögen, Nürnberg a. d. Weinstr.",nürnberg,1
Kreissozialamt Uelzen,uelzen,1
Kreissonderhilfsausschuss Winsen/L.,winsen,1
KSHA Alfeld,alfeld,1
Regierungsbezirk Hirschberg (Weff.),hirschberg,1
Regierung Jülich (Rhein.),jülich,1
Stadtverwaltung Stadthagen,stadthagen,1
KSHA Hamm,hamm,1
Kreissozialhilfsausschuss d. Landkreises Blankenburg (Brit. Zone) Braunlage,"blankenburg, braunlage",2
KSHA Bremervörde,bremervörde,1
Regierungspräsident Ansbach,ansbach,1
KSHA Duderstadt,duderstadt,1
Holm,holm,1
"Der Regierungspräsident, Düren",düren,1
Rostock,rostock,1
Bundesmin. Bonn,bonn,1
Frankfurt/Main,frankfurt,1
Regierungsbezirksamt für Wiedergutmachung und verwaltungsrechtliche Angelegen Koblentz,koblentz,1
"Kreisjugendamt Lauf, Pegn",lauf,1
Amt für Wiedergutmachung des Landes Thüringen/Pfalz in Erlangen Hauptabteilung II,erlangen,1
Würzburg,würzburg,1
"United Restitution Organization, Frankfurt/M., Grünburgweg 119",frankfurt,1
"United Restitution Office, Frankfurt",frankfurt,1
Regierung Frankfurt (West),frankfurt,1
Regierung Ansbach (Mell.),ansbach,1
Kreissozialhilfsausschuss Nienburg-Weser,nienburg,1
"Kreissonderhilfsausschuss des Landkreises Gera, Schauburg",gera,1
"United Restitution Organization, Frankfurt / M., Grünburgweg 119",frankfurt,1
Kreisonderhilfsausschuss Nienburg,nienburg,1
Neumark,neumark,1
Frankfurt am Main,frankfurt,1
Braunfels,braunfels,1
Regierung Pommern,pommern,1
Bundesfinanzministerium Bonn,bonn,1
Der Regierungspräsident Ansbach,ansbach,1
Frankfurt-Main,frankfurt,1
Regierungsbezirksamt für Wiedergutmachung und verwaltungsVormögen Koblentz,koblentz,1
Regierung Ansbach (Vr.),ansbach,1
Kreisossonderhilfsausschuss Bremervörde,bremervörde,1
Leipzig,leipzig,1
Amt für Wiedergutmachung in Wuppertal-Elberfeld,wuppertal,1
Bayerische Landesentschädigungs- und Staats-schuldenverwaltung,staats,1
Regierung Bamberg (Welf.),bamberg,1
"RA. United Restitution Office, Frankfurt/M.",frankfurt,1
Regierungsbezirk Nürnberg,nürnberg,1
"D.P. Lager Gaherseebo, Wasserburg",wasserburg,1
Regierung Ansbach (Wehr.),"ansbach, wehr",2
KSHA Burgdorf,burgdorf,1
Soest,soest,1
Neuendettelsau,neuendettelsau,1
Regierung Frankfurt (Westf.),frankfurt,1
Der Regierungspräfident. Düren,düren,1
Kreissozialhilfsausschuss Rottenburg,rottenburg,1
KSHA Bersenbrück,bersenbrück,1
"Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögen, Neubrandenburg, Weimarstr.",neubrandenburg,1
Regierung Ansbach (Westf.),ansbach,1
Kreissozialamt Wolfsburg,wolfsburg,1
KSHA Soltau,soltau,1
Altenkirchen Westerw.,altenkirchen,1
Bebra,bebra,1
Kreissonderbehilfsausschuss Jever 1.0.,jever,1
KSHC Cuxhaven,cuxhaven,1
"United Restitution Office, Frankfurt/M, Gruneburgweg 119",frankfurt,1
Dresden,dresden,1
Bay. Zent. Stelle,stelle,1
Regierungsamt Arnswalde (Wehr.),wehr,1
Regierung Rostock (Meckl.),rostock,1
Oberfinanzdirektion Cottbus,cottbus,1
Kreissozialhilfsausschub der Stadt Salzgitter,salzgitter,1
Oberfinanzdirektion: Cottbus,cottbus,1
Amt für Wiedergutmachung des Landes Preußen/Pommern in Lübeck,"lübeck, pommern",2
Kreissozialhilfsausschub Watenstedt-Salzgitter,salzgitter,1
Der Regionalpräsident - Doz. für Wiedergutmachung - in Dortmund,dortmund,1
Nürnberg,nürnberg,1
Oberfinanzdirektion Nürnberg,nürnberg,1
Bonn,bonn,1
Regierung Ansbach,ansbach,1
Lübeck,lübeck,1
Dortmund,dortmund,1
Regierung Frankfurt,frankfurt,1
Kreissonderhilfsausschuss Nordhorn,nordhorn,1
KSHA Cloppenburg,cloppenburg,1
Bezirksamt für Wiedergutmachung Mannheim,mannheim,1
Regierung Ansbach (MfV),ansbach,1
Regierung Ansbach (Mf.),ansbach,1
Regierungspräsidium Amberg,amberg,1
Regierungspräsidium Ansbach (Württ.),ansbach,1
Leipzig N. 45,leipzig,1
Doppel Meldung Bundes Fin. Min. Bonn,bonn,1
Dachau,dachau,1
"Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögensnachlässe, Nürnberg a.d. Weinstraße",nürnberg,1
Kreissozialamt Watenstedt-Salzgitter,salzgitter,1
